Bill No.,Bill Year,Short Title of Bill,Bill Category,Ministry,Act No.,Date of Introduction,Date of Passing in Rajya Sabha,Date of Passing in Lok Sabha,Date of Assented,Status,URL for Bills as Introduced,URL for Bills as Passed in Both Houses,URL for Bill Errata
I,1981,"The State of Nagaland (Amendment) Bill, 1981",Ordinary Bill,HOME AFFAIRS,35 of 1981,19/2/1981,24/8/1981,16/9/1981,18/9/1981,Assented,NA,NA,NA
XXI,1980,"The Special Courts (Repeal) Bill, 1981",Ordinary Bill,HOME AFFAIRS,34 of 1982,24/12/1980,19/8/1981,29/7/1982,17/8/1982,Assented,NA,NA,NA
XX,1980,"The Cinematograph (Amendment) Bill, 1981",Ordinary Bill,INFORMATION AND BROADCASTING,49 of 1981,24/12/1980,28/4/1981,14/12/1981,18/12/1981,Assented,NA,NA,NA
XVIIII,1980,"The Architects (Amendment) Bill, 1980",Ordinary Bill,NA,21 of 1982,20/11/1980,3/12/1980,29/4/1982,18/5/1982,Assented,NA,NA,NA
XIX,1980,"The Salary, Allowances and Pension of Members of Parliament (Amendment) Bill, 1981",Ordinary Bill,PARLIAMENTARY AFFAIRS,21 of 1981,15/12/1980,25/2/1981,27/8/1981,9/4/1981,Assented,NA,NA,NA
X,1979,"The Sree Chitra Tirunal Institute for Medical Science and Technology, Trivandrum, Bill, 1979",Ordinary Bill,SCIENCE AND TECHNOLOGY,NA,28/3/1979,15/5/1979,NA,NA,Lapsed,NA,NA,NA
VIII,1979,"The Khuda Baksh Oriental Public Library (Amendment) Bill, 1979",Ordinary Bill,NA,51 of 1981,28/3/1979,20/11/1980,3/12/1981,24/12/1981,Assented,NA,NA,NA
V,1979,"The Sales Promotion Employees (Conditions of Service) Amendment Bill, 1979",Ordinary Bill,LABOUR,69 of 1982,3/5/1979,12/11/1980,16/10/1982,13/11/1982,Assented,NA,NA,NA
IX,1979,"The Rampur Raza Library (Amendment) Bill, 1979",Ordinary Bill,NA,52 of 1981,28/3/1979,20/11/1981,30/11/1981,24/12/1981,Assented,NA,NA,NA
XVIII,1978,"The Delhi High Court (Amendment) Bill, 1978",Ordinary Bill,NA,37 of 1980,7/12/1978,6/12/1980,20/6/1980,7/2/1980,Assented,NA,NA,NA
XIX,1978,"The Brahmaputra Board Bill, 1978",Ordinary Bill,AGRICULTURE,NA,26/12/1978,3/1/1979,NA,NA,Passed,NA,NA,NA
XII,1978,"The Constitution (Authorised Translations) Bill, 1978",Ordinary Bill,HOME AFFAIRS,NA,8/7/1978,27/11/1978,NA,NA,Lapsed,NA,NA,NA
XI,1978,"The Coast Guard Bill, 1978",Ordinary Bill,DEFENCE,30 of 1978,31/7/1978,8/2/1978,17/8/1978,18/8/1978,Assented,NA,NA,NA
VII,1978,"The Repealing and Amending Bill, 1978",Ordinary Bill,NA,38 of 1978,18/7/1978,26/7/1978,21/11/1978,26/11/1978,Assented,NA,NA,NA
VI,1978,"The Employment of Children (Amendment) Bill, 1978",Ordinary Bill,LABOUR,39 of 1978,17/5/1978,26/7/1978,27/11/1978,29/11/1978,Assented,NA,NA,NA
II,1978,"The Visva-Bharati (Amendment) Bill, 1978",Ordinary Bill,NA,31 of 1984,23/3/1978,23/3/1984,5/8/1984,21/5/1984,Assented,NA,NA,NA
I,1978,"The Insoluency Laws (Amendment) Bill, 1978",Ordinary Bill,NA,28 of 1978,16/3/1978,26/4/1978,8/2/1978,4/8/1978,Assented,NA,NA,NA
XVIII,1977,"The Press Council Bill, 1977",Ordinary Bill,INFORMATION AND BROADCASTING,37 of 1978,23/12/1977,8/7/1978,31/8/1978,9/7/1978,Assented,NA,NA,NA
XVII,1977,"The Public Wakfs (Extension of Limitation) (Delhi Amendment) Bill, 1977",Ordinary Bill,NA,12 of 1978,20/12/1977,28/2/1978,23/3/1978,30/3/1978,Assented,NA,NA,NA
XVI,1977,"The Children (Amendment) Bill, 1977",Ordinary Bill,NA,15 of 1978,14/12/1977,19/12/1977,23/3/1978,31/3/1978,Assented,NA,NA,NA
XV,1977,"The Port Laws (Amendment) Bill, 1977",Ordinary Bill,SHIPPING,17 of 1978,8/12/1977,13/12/1977,23/3/1978,5/4/1978,Assented,NA,NA,NA
XIII,1977,"The Requisitioning and Acquesition of Immovable Property (Amendment) Bill, 1977",Ordinary Bill,NA,44 of 1977,16/11/1977,17/11/1977,22/12/1977,24/12/1977,Assented,NA,NA,NA
V,1977,"The Betwa River Board (Amendment) Bill, 1977",Ordinary Bill,AGRICULTURE,47 of 1977,8/9/1976,14/11/1977,22/12/1977,25/12/1977,Assented,NA,NA,NA
III,1977,"The Oil and Natural Gas Commission (Amendment) Bill, 1977",Ordinary Bill,PETROLEUM AND NATURAL GAS,23 of 1977,22/6/1977,19/7/1977,25/7/1977,30/7/1977,Assented,NA,NA,NA
I,1977,"The Food Corporations (Amendment) Bill, 1977",Ordinance Replacing Bill,AGRICULTURE,12 of 1977,31/3/1977,4/4/1977,4/7/1977,11/4/1977,Assented,NA,NA,NA
XXXVIII,1976,"The Public Premises (Eviction Unauthorised Occupants) Amendment Bill, 1976",Ordinary Bill,NA,NA,24/8/1976,NA,NA,NA,Withdrawn,NA,NA,NA
XXXVII,1976,"The Insecticides (Amendment) Bill, 1976",Ordinary Bill,AGRICULTURE,24 of 1977,24/8/1976,18/7/1977,26/7/1977,2/8/1977,Assented,NA,NA,NA
XXXVI,1976,"The Code of Criminal Procedure (Amendment) Bill, 1976",Ordinary Bill,HUMAN RESOURCE DEVELOPMENT,NA,24/8/1976,26/8/1976,NA,NA,Lapsed,NA,NA,NA
XXXIX,1976,"The Motor Vehicles (Second Amendment) Bill, 1976",Ordinary Bill,NA,27 of 1977,9/2/1976,18/7/1977,25/7/1977,3/8/1977,Assented,NA,NA,NA
XXXIII,1976,"The Antiquities and Art Treasures (Amendment) Bill, 1976",Ordinary Bill,LABOUR,94 of 1976,10/8/1976,16/8/1976,24/8/1976,9/4/1976,Assented,NA,NA,NA
XXVIII,1976,"The Territorial Waters, Continental Shelf, Exclusive Economic Zone and other Maritime Zones Bill, 1976",Ordinary Bill,EXTERNAL AFFAIRS,80 of 1976,28/5/1976,8/10/1976,17/8/1976,25/8/1976,Assented,NA,NA,NA
XXVII,1976,"The Essential Commodities (Amendment) Bill, 1976",Ordinary Bill,NA,92 of 1976,27/5/1976,8/11/1976,26/8/1976,9/2/1976,Assented,NA,NA,NA
XXVI,1976,"The Code of Criminal Procedure (Amendment) Bill, 1976",Ordinary Bill,HOME AFFAIRS,NA,27/5/1976,NA,NA,NA,Withdrawn,NA,NA,NA
XXIX,1976,"The Factories (Amendment) Bill, 1976",Ordinary Bill,LABOUR,94 of 1976,28/5/1976,11/8/1976,27/8/1976,4/9/1976,Assented,NA,NA,NA
XXIV,1976,"The Merchant Shipping (Amendment) Bill, 1976",Ordinary Bill,SHIPPING,69 of 1976,1/4/1976,12/5/1976,24/5/1976,27/5/1976,Assented,NA,NA,NA
XXIII,1976,"The Workmens compensation (Amenment) Bill, 1976",Ordinary Bill,LABOUR,65 of 1976,31/3/1976,4/1/1976,19/5/1976,21/5/1976,Assented,NA,NA,NA
XXII,1976,"The Marriage Laws (Amendment) Bill, 1976",Ordinary Bill,NA,68 of 1976,29/3/1976,5/12/1976,24/5/1976,27/5/1976,Assented,NA,NA,NA
XXI,1976,"The Tariff Commission (Repeal) Bill, 1976",Ordinary Bill,NA,71 of 1976,29/3/1976,12/5/1976,26/5/1976,28/5/1976,Assented,NA,NA,NA
XX,1976,"The Kerala Legislative Assembly (Extension of Duration) Amendment Bill, 1976",Ordinary Bill,NA,46 of 1976,23/3/1976,25/3/1976,29/3/1976,31/3/1976,Assented,NA,NA,NA
XVIII,1976,"The Tamil Nadu State Legislatue (Dellegation of Powers) Bill, 1976",Ordinary Bill,HOME AFFAIRS,41 of 1976,9/3/1976,10/3/1976,18/3/1976,22/3/1976,Assented,NA,NA,NA
XVII,1976,"The Indian Standards Institution (Certification Marks) Amendment Bill, 1976",Ordinary Bill,NA,54 of 1976,2/3/1976,3/10/2001,30/3/2001,4/3/2001,Assented,NA,NA,NA
XVI,1976,"The Industrial Disputes (Amendment) Bill, 1976",Ordinary Bill,LABOUR,32 of 1976,28/1/1976,2/2/1976,2/5/1976,16/2/1976,Assented,NA,NA,NA
XV,1976,"The Maternity Benefit (Amendment) Bill, 1976",Ordinary Bill,LABOUR,53 of 1976,22/1/1976,3/8/1976,30/3/1976,4/3/1976,Assented,NA,NA,NA
XLIV,1976,"The Foreign Contribution (Regulation) Bill, 1976",Ordinary Bill,HOME AFFAIRS,NA,24/12/1973,NA,NA,NA,Passed,NA,NA,NA
XL,1976,"The Electricity (Supply) Amendment Bill, 1976",Ordinary Bill,NA,NA,9/2/1976,NA,NA,NA,Withdrawn,NA,NA,NA
XIX,1976,"The Gujarat State Legislature (Delegation of Powers) Bill, 1976",Ordinary Bill,HOME AFFAIRS,44 of 1976,23/3/1976,25/3/1976,29/3/1976,30/3/1976,Assented,NA,NA,NA
XIV,1976,"The Payment of Bonus (Amendment) Bill, 1976",Ordinary Bill,LABOUR,23 of 1976,22/1/1976,28/1/1976,2/4/1976,11/2/1976,Assented,NA,NA,NA
XII,1976,"The Delhi Rent Control (Amendment) Bill, 1976",Ordinary Bill,NA,18 of 1976,19/1/1976,29/1/1976,27/1/1976,2/9/1976,Assented,NA,NA,NA
XI,1976,"The Contempt of Courts (Amendment) Bill, 1976",Ordinary Bill,NA,45 of 1976,19/1/1976,3/8/1976,29/3/1976,30/3/1976,Assented,NA,NA,NA
VIII,1976,"The Equal Remuneration Bill, 1976",Ordinary Bill,LABOUR,25 of 1976,1/6/1976,1/12/1976,30/1/1976,2/11/1976,Assented,NA,NA,NA
VII,1976,"The Bonded Labour System (Abolition) Bill, 1976",Ordinary Bill,LABOUR,19 of 1976,1/6/1976,1/12/1976,27/1/1976,2/9/1976,Assented,NA,NA,NA
VI,1976,"The Indian Railways (Amendment) Bill, 1976",Ordinary Bill,RAILWAYS,9 of 1976,6/1/1976,12/1/1976,23/1/1976,25/1/1976,Assented,NA,NA,NA
V,1976,"The Motor Vehicles (Amendment) Bill, 1976",Ordinary Bill,NA,26 of 1976,1/6/1976,19/1/1976,30/1/1976,2/11/1976,Assented,NA,NA,NA
IX,1976,"The Payment of Wages (Amendment) Bill, 1976",Ordinary Bill,LABOUR,29 of 1976,1/8/1976,15/1/1976,2/3/1976,2/11/1976,Assented,NA,NA,NA
XVII,1975,"The Pharmacy (Amendment) Bill, 1975",Ordinary Bill,HEALTH AND FAMILY WELFARE,70 of 1976,8/8/1975,5/12/1976,24/5/1976,27/5/1976,Assented,NA,NA,NA
XVI,1975,"The Kerala Legislative Assembly (Extention of Duration) Bill, 1975",Ordinary Bill,NA,33 of 1975,22/7/1975,23/7/1975,29/7/1975,31/7/1975,Assented,NA,NA,NA
XV,1975,"The Standards of Weights, and Measures Bill, 1975",Ordinary Bill,NA,6 of 1976,25/7/1975,15/1/1976,3/9/1976,4/8/1976,Assented,NA,NA,NA
XLVII,1975,"The Telegraph Wires (Unlawful Possession) Amendment Bill, 1975",Ordinary Bill,NA,44 of 1975,11/12/1974,25/11/1974,8/1/1975,8/7/1975,Assented,NA,NA,NA
XIV,1975,"The Defence of India (Amendment) Bill, 1975",Ordinary Bill,HOME AFFAIRS,32 of 1975,21/7/1975,23/7/1975,29/7/1975,31/7/1975,Assented,NA,NA,NA
XIII,1975,"The Nagaland State Legislature (Delegation of Powers) Bill, 1975",Ordinary Bill,HOME AFFAIRS,31 of 1975,21/7/1975,23/7/1975,28/7/1975,30/7/1975,Assented,NA,NA,NA
XII,1975,"The Sales Promotion Employees (Conditions of Service) Bill, 1975",Ordinary Bill,LABOUR,11 of 1976,14/5/1975,24/7/1975,1/12/1976,25/1/1976,Assented,NA,NA,NA
VII,1975,"The Employees State Insurance (Amendment) Bill, 1975",Ordinary Bill,LABOUR,38 of 1975,22/3/1975,24/7/1975,30/7/1975,1/8/1975,Assented,NA,NA,NA
VI,1975,"The North-Eastern Areas (Reorganisation) Amendment Bill, 1975",Ordinary Bill,HOME AFFAIRS,3 of 1975,10/3/1975,13/3/1975,18/3/1975,19/3/1975,Assented,NA,NA,NA
V,1975,"The Delhi University (Amendment) Bill, 1975",Ordinary Bill,HUMAN RESOURCE DEVELOPMENT,NA,3/3/1975,NA,NA,NA,Withdrawn,NA,NA,NA
LXVI,1975,"The Tokyo Convention Bill, 1975",Ordinary Bill,NA,20 of 1975,11/11/1974,27/11/1974,26/3/1975,5/8/1975,Assented,NA,NA,NA
LXI,1975,"The All-India Services (Amendment) Bill, 1975",Ordinary Bill,"PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",23 of 1975,21/12/1974,3/3/1975,5/6/1975,5/9/1975,Assented,NA,NA,NA
LX,1975,"The Former Secretary of State Service Officers (Conditions of Service) Amendment Bill, 1974",Ordinary Bill,"PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",24 of 1975,21/12/1974,3/3/1975,6/5/1975,9/5/1975,Assented,NA,NA,NA
LVIII,1975,"The Press Council (Second Amendment) Bill, 1975",Ordinary Bill,INFORMATION AND BROADCASTING,12 of 1975,21/12/1974,26/2/1975,24/3/1975,29/3/1975,Assented,NA,NA,NA
LIX,1975,"The Air Force and Army Laws (Amendment) Bill, 1975",Ordinary Bill,DEFENCE,13 of 1975,21/12/1974,27/2/1975,25/3/1975,29/3/1975,Assented,NA,NA,NA
IV,1975,"The Requisitioning and Acquisition of Immovable Property (Amendment) Bill, 1975",Ordinary Bill,NA,2 of 1975,20/2/1975,26/2/1975,3/4/1975,7/3/1975,Assented,NA,NA,NA
XXXVIII,1974,"The Esso (Acquisition of Undertakings in India) Amendment Bill, 1974",Ordinary Bill,FINANCE,40 of 1974,9/2/1974,9/3/1974,9/7/1974,7/9/1974,Assented,NA,NA,NA
XXXVII,1974,"The Punjab Municipal (Chandigarh Amendment) Bill, 1974",Ordinary Bill,NA,59 of 1974,29/8/1974,6/9/1974,17/12/1974,21/12/1974,Assented,NA,NA,NA
XXXV,1974,"The Payment of Bonus (Amendment) Bill, 1974",Ordinary Bill,LABOUR,42 of 1974,22/8/1974,27/8/1974,9/9/1974,11/9/1974,Assented,NA,NA,NA
XXXIX,1974,"The Delhi Municipal Corporation (Amendment) Bill, 1974",Ordinary Bill,HOME AFFAIRS,55 of 1974,7/9/1974,11/11/1974,17/12/1974,20/12/1974,Assented,NA,NA,NA
XXXIII,1974,"The Prevention of Food Adulteration (Amendment) Bill, 1974",Ordinary Bill,HEALTH AND FAMILY WELFARE,34 of 1976,8/12/1974,27/1/1976,6/2/1976,17/2/1976,Assented,NA,NA,NA
XXVIII,1974,"The Alock Ashdown Limited (Acquisition of Undertakings) Amendment Bill, 1974",Ordinary Bill,NA,33 of 1974,1/8/1974,8/8/1974,28/8/1974,31/8/1974,Assented,NA,NA,NA
XXVII,1974,"The National Cadet Corps (Amendment) Bill, 1974",Ordinary Bill,DEFENCE,50 of 1975,29/7/1974,9/4/1974,5/8/1975,16/8/1975,Assented,NA,NA,NA
XXVI,1974,"The Industries (Development and Regulation) Amendment Bill, 1974",Ordinary Bill,NA,32 of 1974,24/7/1974,8/5/1974,28/8/1974,31/8/1974,Assented,NA,NA,NA
XXV,1974,"The Indian Iron & Steel Company (Taking Over of Management) Amendment Bill, 1974",Ordinary Bill,NA,36 of 1974,25/7/1974,8/8/1974,30/8/1974,31/8/1974,Assented,NA,NA,NA
XXIV,1974,"The Press Council (Amendment) Bill, 1974",Ordinary Bill,INFORMATION AND BROADCASTING,34 of 1974,25/7/1974,7/8/1974,29/8/1974,31/8/1974,Assented,NA,NA,NA
XXIII,1974,"The Essential Commodities (Amendment) Bill, 1974",Ordinary Bill,NA,30 of 1974,23/7/1974,29/7/1974,26/8/1974,29/8/1974,Assented,NA,NA,NA
XLVIII,1974,"The East Punjab Urban Rent Restriction Act (Extension to Chandigarh) Bill, 1974",Ordinary Bill,HOME AFFAIRS,54 of 1974,12/11/1974,18/11/1974,17/12/1974,20/12/1974,Assented,NA,NA,NA
XLIX,1974,"The Repealing and Amending Bill, 1974",Ordinary Bill,NA,56 of 1974,18/11/1974,25/11/1974,17/12/1974,20/12/1974,Assented,NA,NA,NA
XIV,1974,"The Central and Other Societies (Regulation) Bill, 1974",Ordinary Bill,NA,NA,14/5/1974,31/8/1976,NA,NA,Passed,NA,NA,NA
XIII,1974,"The Rampur Raza Library Bill, 1974",Ordinary Bill,NA,22 of 1975,7/5/1974,23/7/1974,26/3/1975,9/5/1975,Assented,NA,NA,NA
XII,1974,"The Indian Telegraph (Amendment) Bill, 1974",Ordinary Bill,NA,48 of 1974,25/4/1974,22/7/1974,21/11/1974,30/11/1974,Assented,NA,NA,NA
X,1974,"The Economic Offences (Inapplicability of Limitation) Bill, 1974",Ordinary Bill,NA,12 of 1974,19/3/1974,20/3/1974,25/3/1974,27/3/1974,Assented,NA,NA,NA
LX,1974,"The Former Secretary of State Service Officers (Conditions of Service) Amendment Bill, 1974",Ordinary Bill,NA,24 of 1975,21/12/1974,3/3/1975,6/5/1975,9/5/1975,Assented,NA,NA,NA
LV,1974,"The Small Coins (Offences) Amendment Bill, 1974",Ordinary Bill,NA,49 of 1974,26/11/1974,28/11/1974,12/10/1974,12/10/1974,Assented,NA,NA,NA
LIII,1974,"The Working Journalists (Condition of Service) and Miscellaneous Provisions (Amendment) Bil, 1974",Ordinary Bill,LABOUR,60 of 1974,20/11/1974,12/2/1974,17/12/1974,21/12/1974,Assented,NA,NA,NA
IX,1974,"The Gujarat State Legislature (Delegation of Powers) Bill, 1974",Ordinary Bill,HOME AFFAIRS,11 of 1974,18/3/1974,19/3/1974,26/3/1974,27/3/1974,Assented,NA,NA,NA
IV,1974,"The North-Eastern Areas (Reorganisation) Amendment Bill, 1974",Ordinary Bill,HOME AFFAIRS,8 of 1974,21/2/1974,28/2/1974,25/3/1974,27/3/1974,Assented,NA,NA,NA
XXXV,1973,"The Navy (Amendment) Bill, 1973",Ordinary Bill,DEFENCE,53 of 1974,21/11/1973,22/11/1973,11/12/1974,16/12/1974,Assented,NA,NA,NA
XXXIX,1973,"The Indian Works of Defence (Amendment) Bill, 1973",Ordinary Bill,DEFENCE,50 of 1974,27/11/1973,29/11/1973,12/11/1974,12/12/1974,Assented,NA,NA,NA
XXXIV,1973,"The Payment of Bonus (Second Amendment) Bill, 1973",Ordinary Bill,LABOUR,55 of 1973,19/9/1973,21/11/1973,5/12/1973,14/12/1973,Assented,NA,NA,NA
XXVII,1973,"The Industries (Development and Regulation) Amendment Bill, 1973",Ordinary Bill,NA,67 of 1973,27/8/1973,30/8/1973,12/4/1973,28/12/1973,Assented,NA,NA,NA
XXVI,1973,"The Cinematograph (Second Amendment) Bill, 1973",Ordinary Bill,INFORMATION AND BROADCASTING,27 of 1974,20/8/1973,27/8/1974,30/7/1974,23/8/1974,Assented,NA,NA,NA
XXIX,1973,"The Maternity Benefit (Amendment) Bill, 1973",Ordinary Bill,NA,52 of 1973,3/9/1973,11/12/1973,12/3/1973,11/12/1973,Assented,NA,NA,NA
XXIV,1973,"The Payment of Bonus (Amendment) Bill, 1973",Ordinary Bill,NA,39 of 1973,13/8/1973,16/8/1973,29/8/1973,1/9/1973,Assented,NA,NA,NA
XXIII,1973,"The Coking and Non-Coking Coal Mines (Nationalisation) Amendment Bill, 1973",Ordinary Bill,NA,41 of 1973,16/8/1973,20/8/1973,9/4/1973,9/6/1973,Assented,NA,NA,NA
XXI,1973,"The Uttar Pradesh State Legislature (Delegation of Powers) Bill, 1973",Ordinary Bill,HOME AFFAIRS,33 of 1973,8/6/1973,8/8/1973,20/8/1973,22/8/1973,Assented,NA,NA,NA
XX,1973,"The Code of Civil Procedure (Amendment) Bill, 1973",Ordinary Bill,NA,49 of 1973,30/7/1973,11/12/1973,19/11/1973,29/11/1973,Assented,NA,NA,NA
XV,1973,"The State Bank Laws (Amendment) Bill, 1973",Ordinary Bill,NA,48 of 1973,16/5/1973,30/7/1973,14/11/1973,26/11/1973,Assented,NA,NA,NA
XLIV,1973,"The Foreign Contribution (Regulation) Bill, 1973",Ordinary Bill,HOME AFFAIRS,49 of 1976,24/12/1973,9/3/1976,29/3/1976,31/3/1976,Assented,NA,NA,NA
XLIII,1973,"The Reserve Bank of India (Second Amendment) Bill, 1974",Ordinary Bill,NA,51 of 1974,20/12/1973,19/2/1974,18/11/1974,13/12/1974,Assented,NA,NA,NA
XL,1973,"The Public Wakfs (Extension of Limitation) (Delhi Amendment) Bill, 1973",Ordinary Bill,AGRICULTURE,9 of 1974,27/11/1973,29/11/1973,21/2/1974,27/3/1974,Assented,NA,NA,NA
XIX,1973,"The Foreign Awards (Recognition and Enforcement) Amendment Bill, 1973",Ordinary Bill,NA,47 of 1973,30/7/1973,16/8/1973,14/11/1973,26/11/1973,Assented,NA,NA,NA
XIV,1973,"The Manipur State Legislature (Delegation of Powers) Bill, 1973",Ordinary Bill,HOME AFFAIRS,23 of 1973,5/2/1973,5/8/1973,14/5/1973,19/5/1973,Assented,NA,NA,NA
X,1973,"The Orissa State Legislature (Delegation of Powers) Bill, 1973",Ordinary Bill,HOME AFFAIRS,20 of 1973,22/3/1973,29/3/1973,5/7/1973,10/5/1973,Assented,NA,NA,NA
VII,1973,"The Plantations Labour (Amendment) Bill, 1973",Ordinary Bill,NA,58 of 1981,3/6/1973,9/3/1981,24/12/1981,29/12/1981,Assented,NA,NA,NA
VI,1973,"The Requisitioning and Acquisition of Immovable Property (Amendment) Bill, 1973",Ordinary Bill,NA,1 of 1973,22/2/1973,28/2/1973,3/6/1973,3/9/1973,Assented,NA,NA,NA
IX,1973,"The Andhra Pradesh State Legislature (Delegation of Power) Bill, 1973",Ordinary Bill,HOME AFFAIRS,8 of 1973,20/3/1973,22/3/1973,26/3/1973,29/3/1973,Assented,NA,NA,NA
XXXVII,1972,"The Cinematograph (Amendment) Bill, 1972",Ordinary Bill,INFORMATION AND BROADCASTING,25 of 1973,22/11/1972,27/11/1972,14/5/1973,28/5/1973,Assented,NA,NA,NA
XXXV,1972,"The Apprentices (Amendment) Bill, 1972",Ordinary Bill,NA,27 of 1973,21/11/1972,27/11/1972,15/5/1973,7/6/1973,Assented,NA,NA,NA
XXXIX,1972,"The Authorised Translations (Central Laws) Bill, 1972",Ordinary Bill,HOME AFFAIRS,50 of 1973,22/11/1972,27/11/1972,15/11/1973,12/5/1973,Assented,NA,NA,NA
XXXIV,1972,"The All-India Services Regulations (Indemnity) Bill, 1972",Ordinary Bill,HOME AFFAIRS,19 of 1975,16/11/1972,30/4/1975,26/3/1975,5/6/1975,Assented,NA,NA,NA
XXVI,1972,"The Insecticides (Amendment) Bill, 1972",Ordinary Bill,AGRICULTURE,46 of 1972,21/8/1972,23/8/1972,30/8/1972,9/3/1972,Assented,NA,NA,NA
XXV,1972,"The Victoria Memorial (Amendment) Bill, 1972",Ordinary Bill,NA,40 of 1972,8/9/1972,14/8/1972,21/8/1972,25/8/1972,Assented,NA,NA,NA
XXIV,1972,"The Delhi University (Amendment) Bill, 1972",Ordinary Bill,NA,48 of 1972,8/3/1972,28/8/1972,9/1/1972,9/3/1972,Assented,NA,NA,NA
XVIII,1972,"The Adoption of Children Bill, 1972",Ordinary Bill,NA,NA,6/1/1972,NA,NA,NA,Withdrawn,NA,NA,NA
XVII,1972,"The Dentists (Amendment) Bill, 1972",Ordinary Bill,NA,42 of 1972,6/1/1972,8/1/1972,21/8/1972,27/8/1972,Assented,NA,NA,NA
XVI,1972,"The Supreme Court (Enlargement of Criminal Appellate Jurisdiction) Amendment Bill, 1972",Ordinary Bill,NA,37 of 1972,30/5/1972,6/3/1972,8/9/1972,20/8/1972,Assented,NA,NA,NA
XV,1972,"The Indian Telegraph (Amendment) Bill,1972",Ordinary Bill,NA,38 of 1972,16/5/1972,31/7/1972,9/8/1972,21/8/1972,Assented,NA,NA,NA
XLIII,1972,"The Capital of Punjab (Development and Regulation) (Chandigarh Amendment) Bill, 1972",Ordinary Bill,NA,17 of 1973,18/12/1972,19/12/1972,26/3/1973,4/9/1973,Assented,NA,NA,NA
XLII,1972,"The Indian Penal Code (Amendment) Bill, 1972",Ordinary Bill,HOME AFFAIRS,NA,12/11/1972,23/11/1978,NA,NA,Passed,NA,NA,NA
XLI,1972,"The Seaward Artillery Practice (Amendment) Bill, 1972",Ordinary Bill,DEFENCE,3 of 1973,12/4/1972,12/7/1972,20/2/1973,13/3/1973,Assented,NA,NA,NA
XL,1972,"The Diplomatic and Consular Officer (Oaths and Fees) (Extension to Jammu and Kashmir) Bill, 1972",Ordinary Bill,EXTERNAL AFFAIRS,2 of 1973,23/11/1972,28/11/1972,20/2/1973,13/3/1973,Assented,NA,NA,NA
XIX,1972,"The Rice-Milling Industry (Regulation) Amendment Bill, 1972",Ordinary Bill,AGRICULTURE,47 of 1972,6/1/1972,31/7/1972,30/8/1972,9/3/1972,Assented,NA,NA,NA
VIII,1972,"The Public Wakfs (Extension of Limitation) (Delhi Amendment) Bill, 1972",Ordinary Bill,AGRICULTURE,9 of 1972,28/3/1972,30/3/1972,4/7/1972,4/12/1972,Assented,NA,NA,NA
VI,1972,"The Administrators-General (Amendment) Bill, 1972",Ordinary Bill,NA,8 of 1972,28/3/1972,30/3/1972,4/7/1972,4/12/1972,Assented,NA,NA,NA
V,1972,"The Armed Forces (Assam and Manipur) Special Powers (Amendment) Bill, 1972",Ordinary Bill,HOME AFFAIRS,7 of 1972,16/3/1972,18/3/2001,28/3/2001,5/4/2001,Assented,NA,NA,NA
IX,1972,"The Architects Bill, 1972",Ordinary Bill,NA,20 of 1972,4/3/1972,4/10/1972,24/5/1972,31/5/1972,Assented,NA,NA,NA
XXXV,1971,The Essential Commodities (Amendment Bill) 1971,Ordinary Bill,NA,66 of 1971,14/12/1971,16/12/1971,18/12/1971,23/12/1971,Assented,NA,NA,NA
XXXIV,1971,"The Secunderabad and Aurangabad Cantonments House Rent Control Law (Repeal) Bill, 1971",Ordinary Bill,DEFENCE,23 of 1972,20/12/1971,4/6/1972,26/5/1972,6/2/1972,Assented,NA,NA,NA
XXXIII,1971,"The Contonments (Extension of Rent Control Laws) Amendment Bill, 1971",Ordinary Bill,DEFENCE,22 of 1972,13/12/1971,4/4/1972,26/5/1972,6/2/1972,Assented,NA,NA,NA
XXXII,1971,"The Drugs and Cosmetics (Amendment) Bill, 1971",Ordinary Bill,NA,19 of 1972,13/12/1971,4/4/1972,25/5/1972,31/5/1972,Assented,NA,NA,NA
XXXI,1971,"The Industrial Disputes (Second Amendment) Bill, 1971",Ordinary Bill,NA,32 of 1972,12/6/1971,4/6/1972,26/5/1972,14/6/1972,Assented,NA,NA,NA
XXX,1971,"The Homoeopathy Central Council Bill, 1973",Ordinary Bill,HEALTH AND FAMILY WELFARE,59 of 1973,12/1/1971,23/7/1973,19/11/1973,19/12/1973,Assented,NA,NA,NA
XXIX,1971,"The Maternity Benefit (Amendment) Bill, 1971",Ordinary Bill,NA,21 of 1972,29/11/1971,3/4/1972,25/5/1972,1/6/1972,Assented,NA,NA,NA
XXIV,1971,"The Uttar Pradesh Contonments (Control of Rent and Eviction) Repeal Bill, 1971",Ordinary Bill,DEFENCE,68 of 1971,8/12/1971,17/11/1971,18/12/1971,23/12/1971,Assented,NA,NA,NA
XXIII,1971,"The Industrial Disputes (Amendment) Bill, 1971",Ordinary Bill,NA,45 of 1971,8/9/1971,16/11/1971,29/11/1971,12/8/1971,Assented,NA,NA,NA
XXII,1971,"The Arms (Amendment) Bill, 1971",Ordinary Bill,HOME AFFAIRS,55 of 1971,8/3/1971,17/11/1971,12/2/1971,13/12/1971,Assented,NA,NA,NA
